eoi,year,observed,prediction,n,n_sampled,stratum,method,protocol
SK0004R,2025,0.23638787878787879,0.2645598388358182,165,165,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0006R,2024,0.2191146551724138,0.2805024056551724,116,116,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0006R,2025,0.30306722689075627,0.2701875614563025,119,119,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0008A,2024,1.7399993589743592,2.005932191403846,156,156,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0008A,2025,1.419208,1.52761150492,125,125,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0018A,2024,6.173277118644068,6.16104437881356,118,118,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0018A,2025,5.750974789915967,5.284336063865546,119,119,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0020A,2024,1.3145647540983607,1.3567939518688525,122,122,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0020A,2025,1.554148514851485,1.5118772574950496,101,101,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0025A,2024,3.4843,3.8702951178429754,121,121,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0025A,2025,2.374333333333333,2.510462758307017,114,114,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0039A,2024,1.0412450381679388,1.2442153364351145,131,131,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0039A,2025,1.1465474860335196,1.3071377150391061,179,179,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0045A,2024,0.5517336538461538,0.6752230729423078,104,104,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0045A,2025,0.4586486486486486,0.5246532181486486,74,74,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0048A,2024,0.19027164179104478,0.34257484109402986,134,134,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0048A,2025,0.19674789915966387,0.34230137565210084,119,119,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0050A,2024,0.9373400000000001,1.0524109015278786,165,165,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0050A,2025,0.855475,0.8705327934916667,120,120,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0061A,2024,0.3596550458715596,0.4914386482110092,109,109,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0061A,2025,0.28588617886178863,0.4127953378886179,123,123,lower,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0066A,2024,1.408934328358209,1.5299939841514925,134,134,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0066A,2025,1.2047874015748032,1.0827315761732283,127,127,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0070A,2024,2.183129166666667,2.6127715903958335,96,96,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0070A,2025,1.8754318181818184,1.9469777440454548,88,88,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0071A,2024,2.0584204918032785,2.2243894379836067,122,122,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
SK0071A,2025,1.5632685185185184,1.5937165871203705,108,108,higher,G_PLUS_P|identity|uniform|permissive|500m,block30
