method,protocol,estimand,support,period,scope,n,n_stations,RMSE,MAE,bias,agreement_R2
G_PLUS_P|identity|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_higher,20,10,0.1846808567963108,0.14865648040802712,0.1280251792621406,0.8964067959101814
G_PLUS_P|identity|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_lower,20,10,0.11171293719810432,0.09964549651958746,0.09208526049915093,0.7329374043330324
G_PLUS_P|identity|uniform|permissive|500m,loso,daily,all_expected_targets,all_period,all_network,6462,21,1.9117338907581976,0.7038702725446813,-0.09924618978578308,0.47168773593436764
G_PLUS_P|identity|uniform|permissive|500m,loso,daily,all_expected_targets,all_period,nonindustrial,6150,20,0.9778194493588873,0.49810042147540323,0.1315314243015073,0.7776626659718954
G_PLUS_P|identity|uniform|permissive|500m,loso,daily,all_expected_targets,all_period,industrial_descriptive,312,1,7.539774353590283,4.759910606121794,-4.648228005929487,-0.49971186299605086
G_PLUS_P|identity|uniform|permissive|500m,loso,daily,all_expected_targets,all_period,nonindustrial_higher,2394,10,1.0466878141569336,0.5822080554817795,0.04068728036450293,0.8278138997073051
G_PLUS_P|identity|uniform|permissive|500m,loso,daily,all_expected_targets,all_period,nonindustrial_lower,2458,10,0.8441893556484266,0.43677639436600896,0.2842544743158462,-0.29778883628184927
G_PLUS_P|identity|uniform|permissive|500m,loso,daily,all_expected_targets,primary_2024_2025,all_network,5089,21,1.8940857101357442,0.716664171818045,-0.06960355728945367,0.44280001208654185
G_PLUS_P|identity|uniform|permissive|500m,loso,daily,all_expected_targets,primary_2024_2025,nonindustrial,4852,20,0.9495157802770657,0.5085330713468734,0.16407725619558325,0.7632829847903253
G_PLUS_P|identity|uniform|permissive|500m,loso,daily,all_expected_targets,primary_2024_2025,industrial_descriptive,237,1,7.653528204929366,4.977643494544305,-4.853651266274262,-0.5657408052464985
G_PLUS_P|identity|uniform|permissive|500m,loso,daily,all_expected_targets,primary_2024_2025,nonindustrial_higher,2394,10,1.0466878141569336,0.5822080554817795,0.04068728036450293,0.8278138997073051
G_PLUS_P|identity|uniform|permissive|500m,loso,daily,all_expected_targets,primary_2024_2025,nonindustrial_lower,2458,10,0.8441893556484266,0.43677639436600896,0.2842544743158462,-0.29778883628184927
G_PLUS_P|identity|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,all_network,42,21,1.1400627804352648,0.48790473045970184,-0.08252387753641913,0.21045958484374672
G_PLUS_P|identity|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial,40,20,0.4282009932961642,0.2695659179002219,0.15608397766922502,0.6918126101987889
G_PLUS_P|identity|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,industrial_descriptive,2,1,4.860811063681975,4.854680981649302,-4.854680981649302,-528.9446597289581
G_PLUS_P|identity|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_higher,20,10,0.26329530139119744,0.22766816046874955,0.023783087862620567,0.7894410421617164
G_PLUS_P|identity|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_lower,20,10,0.5453327109068021,0.31146367533169417,0.2883848674758295,-5.36398609986194
G_PLUS_P|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,all_period,all_network,6462,21,1.4450795279404085,0.47938650026477875,-0.11537645503571652,0.6981304475459096
G_PLUS_P|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,all_period,nonindustrial,6150,20,0.8419958703682243,0.3408910929513821,-0.05462754063427642,0.8351401220095296
G_PLUS_P|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,all_period,industrial_descriptive,312,1,5.410761166864216,3.209344048269231,-1.3128310177564104,0.2276611907788889
G_PLUS_P|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,all_period,nonindustrial_higher,2394,10,0.9746518480963506,0.49515050999456983,-0.03055535400459483,0.8506989797954083
G_PLUS_P|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,all_period,nonindustrial_lower,2458,10,0.3904488975875481,0.17482118620093573,0.005011431872375914,0.7223787583788253
G_PLUS_P|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,primary_2024_2025,all_network,5089,21,1.371436572543209,0.46941183151481625,-0.07494177323142072,0.7078786515504628
G_PLUS_P|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial,4852,20,0.7388765957420976,0.33287320622607175,-0.01253739034309563,0.8566594973334225
G_PLUS_P|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,primary_2024_2025,industrial_descriptive,237,1,5.404597108070753,3.2647089197046415,-1.3525201098312238,0.21922995111547805
G_PLUS_P|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial_higher,2394,10,0.9746518480963506,0.49515050999456983,-0.03055535400459483,0.8506989797954083
G_PLUS_P|log1p|uniform|permissive|500m,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial_lower,2458,10,0.3904488975875481,0.17482118620093573,0.005011431872375914,0.7223787583788253
G_PLUS_P|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,all_network,42,21,0.30339630937441636,0.11657659660289446,-0.07970603644845206,0.9440838298487328
G_PLUS_P|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial,40,20,0.07195957427051079,0.054783563684730543,-0.01606947552256603,0.9912964446731427
G_PLUS_P|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,industrial_descriptive,2,1,1.3525798034860954,1.3524372549661727,-1.3524372549661727,-40.03352581188973
G_PLUS_P|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_higher,20,10,0.0838442123423272,0.06618999295884881,-0.03531236246191144,0.9786482398264299
G_PLUS_P|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_lower,20,10,0.057675893708559606,0.04337713441061225,0.003173411416779383,0.9288139672383483
G_PLUS_P|log1p|uniform|permissive|500m,calendar_season_out,daily,all_expected_targets,all_period,all_network,6462,21,1.5273454720476325,0.5363433836364283,-0.1438154038902507,0.6627822881015972
G_PLUS_P|log1p|uniform|permissive|500m,calendar_season_out,daily,all_expected_targets,all_period,nonindustrial,6150,20,0.9789912578131126,0.40327207091521955,-0.07574982339004879,0.7771294532604399
G_PLUS_P|log1p|uniform|permissive|500m,calendar_season_out,daily,all_expected_targets,all_period,industrial_descriptive,312,1,5.424346989666559,3.1593836824679484,-1.4854927118269232,0.22377780687610027
G_PLUS_P|log1p|uniform|permissive|500m,calendar_season_out,daily,all_expected_targets,all_period,nonindustrial_higher,2394,10,1.1707348420228165,0.6012630464527986,-0.09749595248287383,0.7845825695942954
G_PLUS_P|log1p|uniform|permissive|500m,calendar_season_out,daily,all_expected_targets,all_period,nonindustrial_lower,2458,10,0.429640686476082,0.2025862651462856,0.020630020222388117,0.663848468727328
G_PLUS_P|log1p|uniform|permissive|500m,calendar_season_out,daily,all_expected_targets,primary_2024_2025,all_network,5089,21,1.4428439959337642,0.5318904789089349,-0.10585601582381017,0.6766665797092866
G_PLUS_P|log1p|uniform|permissive|500m,calendar_season_out,daily,all_expected_targets,primary_2024_2025,nonindustrial,4852,20,0.8773730534170333,0.39929529532926006,-0.037653899533670654,0.7978872616188746
G_PLUS_P|log1p|uniform|permissive|500m,calendar_season_out,daily,all_expected_targets,primary_2024_2025,industrial_descriptive,237,1,5.379788968880501,3.246455165527426,-1.5021288775949366,0.22638126948706572
G_PLUS_P|log1p|uniform|permissive|500m,calendar_season_out,daily,all_expected_targets,primary_2024_2025,nonindustrial_higher,2394,10,1.1707348420228165,0.6012630464527986,-0.09749595248287383,0.7845825695942954
G_PLUS_P|log1p|uniform|permissive|500m,calendar_season_out,daily,all_expected_targets,primary_2024_2025,nonindustrial_lower,2458,10,0.429640686476082,0.2025862651462856,0.020630020222388117,0.663848468727328
G_PLUS_P|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,all_period,all_network,6462,21,1.9385195264219797,0.6448393482657676,-0.2720809427366434,0.45677947154639453
G_PLUS_P|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,all_period,nonindustrial,6150,20,0.9022832298935916,0.42194075687765537,-0.03219788186802928,0.8106868324061
G_PLUS_P|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,all_period,industrial_descriptive,312,1,7.860251897241969,5.038513505435288,-5.000545123319903,-0.6299116260159863
G_PLUS_P|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,all_period,nonindustrial_higher,2394,10,1.032748910066382,0.5437220164172932,-0.14978341740392648,0.8323694211333379
G_PLUS_P|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,all_period,nonindustrial_lower,2458,10,0.572434147169779,0.30348265923211554,0.1424566557109276,0.40327345775996404
G_PLUS_P|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,primary_2024_2025,all_network,5089,21,1.903128319277684,0.6473994699195029,-0.24494604441193754,0.4374670231926352
G_PLUS_P|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,primary_2024_2025,nonindustrial,4852,20,0.8320170939613196,0.4220179067797898,-0.0017359937196084134,0.8182436466786748
