method_a,method_b,protocol,estimand,support,scope,period,metric,units,direction,estimate,ci_low,ci_high,n,n_stations,n_blocks,resampling,seed,replicates,support_sha256,n_station_years,n_reconstructions
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,0.031668529000145634,-0.08188970756476899,0.1601045681560573,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df,40.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.1487575474655169,-0.319634840510835,0.04704670691902562,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69,20.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.09012355382254489,-0.24650909947150795,0.061162946867008176,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69,20.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,bias,ng m-3,a_minus_b,0.14742955251367504,-0.05622231078103477,0.3652460319974145,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69,20.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.023958353243952124,-0.14055759705411672,0.11101811777535796,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc,20.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.01611042255601161,-0.1242363269204088,0.10949634048104293,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc,20.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,bias,ng m-3,a_minus_b,-0.08409249451338383,-0.17403817197135205,0.010143364603890606,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc,20.0,
G_PLUS_P,G,loso,daily,all_expected_targets,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.2199118609621209,-0.7315503036920364,-0.011707722198415338,5089,21,1,station,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0,,
G_PLUS_P,G,loso,daily,all_expected_targets,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.2706626524722243,-0.5227021475553267,-0.10188277668625516,5089,21,1,station,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0,,
G_PLUS_P,G,loso,daily,all_expected_targets,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,-0.18496590473429947,-0.4613338982744877,0.026622663771098336,5089,21,1,station,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0,,
