method,protocol,estimand,support,period,scope,n,n_stations,RMSE,MAE,bias,agreement_R2,n_station_years,n_reconstructions
G_PLUS_P,dispersed_mod9,daily,common_bracketable,primary_2024_2025,nonindustrial,4830,20,0.7022361539551948,0.31530030670304343,-0.019850476618571426,0.8694269569637029,,
G_PLUS_P,dispersed_mod9,daily,common_bracketable,primary_2024_2025,industrial_descriptive,236,1,5.3705699104206355,3.250468643940678,-1.4195606010593222,0.23173535043664306,,
G_PLUS_P,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,all_network,378,21,0.06298360893567835,0.0247722169868517,-0.009853585298829255,0.9975902504132692,42.0,378.0
G_PLUS_P,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,nonindustrial,360,20,0.023368149380382883,0.015778353031333077,-0.0024947004715533206,0.9990821574985483,40.0,360.0
G_PLUS_P,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,industrial_descriptive,18,1,0.26904316898322084,0.20464949609722424,-0.15703128184434792,-0.6235175149967092,2.0,18.0
HARMONIC,dispersed_mod9,daily,common_bracketable,primary_2024_2025,all_network,5066,21,1.8109525152678796,0.7572754199598968,0.0018858548374349026,0.48862445106284447,,
HARMONIC,dispersed_mod9,daily,common_bracketable,primary_2024_2025,nonindustrial,4830,20,1.250521770412259,0.5763359523240527,0.015670037929747742,0.585933906261167,,
HARMONIC,dispersed_mod9,daily,common_bracketable,primary_2024_2025,industrial_descriptive,236,1,6.196301044258838,4.46040096521891,-0.2802226381111715,-0.022669069249338758,,
HARMONIC,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,all_network,378,21,0.06441589572486063,0.03374414625911204,0.00033495477505390397,0.9974794058092495,42.0,378.0
HARMONIC,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,primary_2024_2025,nonindustrial,360,20,0.039559167461126366,0.025955307430756438,0.0019066996452326904,0.9973696483674598,40.0,360.0
